取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
904684,2024-07-22,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2024,72,26.8115,0,機械一式,0,0,0,0,一般,1507.377,373.461,47.574,37.88,36.512,0,0,17.763,0,17.716,0,80.756,3.236,65.645,38.35945,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.01,0,0,0,0,0
932286,2025-01-07,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,84,3.436791,0,カローラクロス,0,0,0,0,自動車,7.919,1.594,0.64,0.549,0.384,0,0,0,0,0,0,0,0.044,53.468,3.159,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.22,0,0,0,0,0
924686,2025-06-09,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2025,72,2.8,0,冷蔵ショーケース,0,0,0,0,一般,41.217,28.563,1.446,3.369,1.632,0,0,1.932,0,0.65,0.8,2.449,0,0,3.5195,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.03,0,0,0,0,0
916412,2025-04-01,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.878,0,WEB会議用モニター,0,0,0,0,一般,544.082,298.622,-184.754,-125.668,-126.216,0,0,0,0.327,2.098,0,28.543,0,0,0,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,4.08,0,熊宿方法食堂（脳育・自己食堂）,0,0,熊宿方法食堂（脳育・自己食堂）
916479,2024-09-03,0,1卸売業・小売業,0,既存先,0,銀行紹介,2024,72,20,0,冷凍庫,0,0,0,0,一般,725.865,175.251,18.478,17.872,12.993,0,0,0,0,2.869,0,13.323,0,77.624,2.028,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,0,0,設備投資見合せ（♥湯・延期）,0,0,設備投資見合せ（♥湯・延期）
911400,2025-05-21,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,48,4.128882,0,UDトラックス クオン,0,0,0,0,自動車,529.748,36.811,-33.759,-16.737,-17.247,0,0,5.711,26.665,2.186,11.5,2.521,23.916,34.5,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.24,0,※着方法変更く駐費・自己貴金）,0,0,※着方法変更く駐費・自己貴金）
913804,2025-04-08,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,4.469336,0,STEPWGN,0,0,0,0,自動車,168.344,21.33,-2.264,0.194,0.113,0,0,5.351,79.992,2.818,25.613,3.269,0.163,12.0825,4.5942,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.00,0,0,0,0,0
903682,2025-04-21,0,Rサービス薬（他に分類されないもの）,0,新規先,0,銀行紹介,2025,60,5,0,事務機器一式,0,0,0,0,一般,576.222,463.937,23.046,19.122,14.504,0,0,3.915,0,28.339,0,13.589,0,343.126,13.1544,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.02,0,0,0,0,0
910097,2025-04-18,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.02707,0,ノア,0,0,0,0,自動車,913.956,891.898,71.905,61.216,31.228,0,0,1.645,0.431,11.836,0,50.731,0,309.369,26.23495,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.33,0,0,0,0,0
913608,2025-05-30,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.26,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.58,0,0,0,0,0
918942,2025-05-14,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.6,0,ミニショベル,0,0,0,0,割賦,735.863,85.863,3.147,1.537,0.94,0,0,84.554,24.492,0.962,31.673,5.07,18.777,112.482,3.8997,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.63,0,0,0,0,0
913608,2025-05-30,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.26,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.58,0,0,0,0,0
913608,2025-04-10,0,Rサービス系（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,30.829,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.55,0,0,0,0,0
913608,2025-05-30,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.3385,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.58,0,0,0,0,0
929371,2025-05-13,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,48,0.2787,0,人事課作業用パソコン,0,0,0,0,一般,4942.769,4826.312,573.955,596.559,416.974,0,0,0.078,1.689,30.058,0,20.855,0,130.346,4.42652,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.00,0,0,0,0,0
