取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
902330,2025-10-27,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,16.270036,0,いす”GIGA20（標準）①,0,0,0,0,自動車,1302.672,304.06,-58.085,5.33,5.546,0,0,368.849,0,28.071,82.018,3.374,128.719,136.662,47.77972,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.01,0,0,0,0,0
923743,2025-07-18,0,D建設業,0,既存先,宇都宮営業部,その他,2025,84,11.5,0,ヤンマーバツクホー,0,0,0,0,一般,88.479,45.983,16.128,21.434,17.566,0,0,0,0,0.928,0,1.935,6.718,24.805,8.2905,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.71,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.446543,0,Pharnes X/EXMV-SH560Eシステム②（ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
970263,2025-08-19,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2025,84,1.35,0,電話機一式（結城店）,0,0,0,0,一般,2012.198,661.007,50.107,46.746,19.709,0,0,58.35,0,63.021,0,15.932,0,29,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.30,0,0,0,0,0
911369,2025-05-01,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.1,0,ELFナロー②,0,0,0,0,自動車,635.019,159.498,41.205,41.717,33.005,0,0,54.387,1.327,4.032,31.381,0.577,6.702,41.624,10.1867,0,3,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.03,0,0,0,0,0
933099,2025-06-17,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,84,5.4,0,防錆油布用バランサー設備,0,0,0,0,割賦,414.988,69.579,10.579,10.936,10.936,0,0,12.986,0,0,3.842,1.581,3.731,123.654,0,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.53,0,0,0,0,0
907200,2025-08-12,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.65,0,バッテリーフォークリフト②,0,0,0,0,一般,3581.416,311.934,100.243,-25.951,-25.862,0,0,367.273,259.779,19.023,255.943,0.24,5.361,273.809,3.08704,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.97,0,0,0,0,0
933006,2025-05-30,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,72,5,0,コマツ ホイールローダー WA40-8,0,0,0,0,割賦,160.26,45.882,3.635,3.946,3.648,0,0,24.378,0,7.197,8.865,0.193,2.817,42.856,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.04,0,0,0,0,0
922518,2025-09-05,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.89,0,CANON カラー複合機 C3926F,0,0,0,0,一般,179.509,50.847,-1.352,-1.917,-1.617,0,0,15.424,0,3.122,0,2.161,0,22.52,0.0306,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.30,0,0,0,0,0
917505,2025-09-16,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.009,0,伊藤超短波超音波治寮器 UST-770,0,0,0,0,一般,187.9,183.908,2.136,7.295,6.007,0,0,27.212,0,6.237,0,17.968,0,68.316,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
933704,2025-10-09,0,D 建設業,0,新規先,宇都宮営業部,銀行紹介,2025,60,3.5045,0,ハイエースパン DX 4ドア STDフロア,0,0,0,0,自動車,71.208,20.257,-1.751,1.001,0.733,0,0,1.615,0,0.806,0,0.662,3.908,4.087,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.03,0,0,0,0,0
917505,2025-09-24,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.43,0,伊藤超短波超音波治療器 UST-770,0,0,0,0,一般,187.9,183.908,2.136,7.295,6.007,0,0,27.212,0,6.237,0,17.968,0,68.316,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.70,0,0,0,0,0
917505,2025-07-16,0,p 医療・福祉,0,新規先,宇都宮営業部,銀行紹介,2025,60,1.8,0,伊藤超短波超音波治療器 UST-770,0,0,0,0,一般,187.9,183.908,2.136,7.295,6.007,0,0,27.212,0,6.237,0,17.968,0,68.316,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.57,0,0,0,0,0
911788,2025-03-11,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,15.1,0,大型トラック ダンプ,0,0,0,0,自動車,3816.866,502.781,124.322,112.405,41.154,0,0,53.46,0,13.515,41.302,58.089,3.474,132.01,0.8575,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.01,0,他社競合（レート）,0,0,他社競合（レート）
910623,2025-07-29,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,23.85,0,冷蔵大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.91,0,0,0,0,0
933006,2025-05-30,0,D建設業,0,新規先,宇都宮営業部,銀行紹介,2025,72,5.7,0,コンバインドローラー,0,0,0,0,割賦,160.26,45.882,3.635,3.946,3.648,0,0,24.378,0,7.197,8.865,0.193,2.817,42.856,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.00,0,0,0,0,0
928161,2025-04-21,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,84,6.876773,0,トヨタ クラウンセダン（HEV） z,0,0,0,0,自動車,173.28,151.134,1.93,11.695,8.782,0,0,1.487,5.126,4.391,0,4.772,0,23.73,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.52,0,0,0,0,0
911311,2025-04-23,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.568433,0,NV200 バネットバンDX,0,0,0,0,一般,289.791,144.664,34.655,38.389,29.51,0,0,11.51,0,6.457,0,9.3,0,26.416,1.505,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.96,0,0,0,0,0
909968,2025-10-01,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.250454,0,中古車 アルファード Z,0,0,0,0,自動車,880.939,169.829,4.38,3.55,5.964,0,0,39.46,0,10.375,18.19,11.757,11.04,141.275,17.5097,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.51,0,0,0,0,0
907200,2025-08-12,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.65,0,バッテリーフォークリフト①,0,0,0,0,一般,3581.416,311.934,100.243,-25.951,-25.862,0,0,367.273,259.779,19.023,255.943,0.24,5.361,273.809,3.08704,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.97,0,0,0,0,0
921988,2025-09-11,0,Rサービス薬（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.495,0,セキュリティーUTM,0,0,0,0,一般,140.561,140.561,0.447,0.377,0.244,0,0,0.075,0,0.385,0,10.48,0,13.228,0.5194,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.62,0,0,0,0,0
955629,2025-10-15,0,Rサービス業・（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,36,0.099,0,ノートパソコン6台,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.74,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,23,0.02,0,ワゴンR 宇都宮581い2678,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
932230,2025-09-17,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.6459,0,デスグトップPC他,0,0,0,0,一般,567.437,214.937,34.807,27.534,25.118,0,0,0,12.001,2.462,26.785,21.881,12.494,252.101,0,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.50,0,0,0,0,0
937359,2025-09-17,0,E製造業,0,既存先,宇都宮営業部,その他,2025,60,1.2802,0,カラー複合機,0,0,0,0,一般,403.337,18.218,-6.111,-1.544,-2.097,0,0,93.833,6.976,0.037,0,3.46,0,19.066,1.296,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.33,0,他社合（レート）,0,0,他社合（レート）
918916,2025-06-04,0,p 医療・福祉,0,既存先,宇都宮営業部,その他,2025,60,4.251521,0,ニッサンキャラバン 福祉車,0,0,0,0,自動車,2224.041,2039.5,-5.972,29.747,29.242,0,0,271.592,-2275.187,77.181,0,51.056,0,33.32,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.97,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,29,0.02,0,ワゴンR 宇都宮581い2678,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
941595,2025-03-05,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,9.2,0,日野トラック,0,0,0,0,自動車,1139.299,293.168,48.959,51.44,22.506,0,0,2.843,0,3.527,57.979,6.585,63.114,278.083,70.4904,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.92,0,他社競合（レート）,0,0,他社競合（レート）
931968,2025-05-12,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,その他,2025,60,8.2,0,いす”FORWARD 4T（標準）,0,0,0,0,自動車,1427.658,646.935,-9.325,59.4,19.941,0,0,729.092,-746.762,72.15,0,4.951,0,11.402,0,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.17,0,製場方に変更（実・白と実金）,0,0,製場方に変更（実・白と実金）
933430,2025-09-12,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,26,0.02,0,ピクシスエポック 宇都宮5808141,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,32,0.02,0,ピクシスエポック 宇都宮5808141,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,39,0.02,0,ピクシスエポック 宇都宮580ふ8141,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,47,0.937,0,ピクシススペース 宇都宮5816624,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,30,0.02,0,ピクシススペース 宇都宮5816624,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025/9/1：,0,Rサービス業（他に分額されないもの）,0,既存先,宇都宮営業部,銀行紹介,0,42,0.02,0,ピクシススペース 宇都宮5816624,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
933430,2025/9/1：,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,0,32,0.02,0,ピクシスエポック 宇都宮580 ね834,0,0,0,0,一般,132.87,132.87,-2.341,-1.853,-1.757,0,0,2.624,4.072,3.4,0,4.197,0,1.992,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
909556,2025-08-21,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.12398,0,ハイエースバン DX GL 5ドア STDフロア,0,0,0,0,自動車,556.66,197.189,50.121,54.932,26.931,0,0,0.297,0,5.322,0,3.14,0,50,11.5552,0,3,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.01,0,0,0,0,0
955629,2025-09-12,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.5783,0,ノートパソコン,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.55,0,0,0,0,0
936074,2025-06-18,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,84,0.5255,0,監視カメラシステム,0,0,0,0,一般,1358.319,281.267,171.175,171.936,89.897,0,0,1.722,0,2.584,5.352,10.69,6.596,0,3.744,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.53,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.080957,0,ノートパソコン,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.59,0,0,0,0,0
936617,2025-08-22,0,Rサービス業（他に分願されないもの）,0,既存先,宇都宮営業部,その他,2025,60,3.8,0,簡易賀流蒸気ボイラー,0,0,0,0,一般,87.166,87.166,31.514,17.235,13.5,0,0,0,0,3.398,0,0,0,42.199,0,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.51,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.808706,0,ノートパソコン,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.58,0,0,0,0,0
911369,2025-05-01,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.1,0,ELFナロー①,0,0,0,0,自動車,635.019,159.498,41.205,41.717,33.005,0,0,54.387,1.327,4.032,31.381,0.577,6.702,41.624,10.1867,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.03,0,0,0,0,0
940969,2025-08-25,0,p 医療・福祉,0,既存先,宇都宮営業部,その他,2025,60,0.6,0,8ボタンデジタルコードレス電話機 12台,0,0,0,0,一般,345.559,345.559,-6.058,-5.855,-5.855,0,0,0.581,4.176,16.098,0,0,0,27.852,0,0,6,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.87,0,他社合（レート）,0,0,他社合（レート）
932952,2025-05-21,0,1卸売業・小売業,0,新規先,宇都宮営業部,銀行紹介,2025,60,22.4,0,UDトラック 2RG-CG5FL,0,0,0,0,自動車,528.318,77.581,22.075,25.156,15.343,0,0,32.134,0,0,22.967,3.69,0,46.664,0,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.00,0,開運方出変更（脳実・自己資金）,0,0,開運方出変更（脳実・自己資金）
903286,2025-04-11,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2025,60,2.239536,0,ハイエースバン DX,0,0,0,0,自動車,500.582,119.602,3.105,3.457,1.497,0,0,16.677,-65.359,5.114,0,13.023,0,10.167,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.73,0,0,0,0,0
930694,2025-06-20,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.867,0,歯科ユニット,0,0,0,0,割賦,237.256,136.019,-6.223,1.166,0.978,0,0,16.035,0.219,8.942,0,7.655,0,39.064,10.3797,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.83,0,設費資見合社（湯・越糖）,0,0,設費資見合社（湯・越糖）
950524,2025-08-04,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,2.7,0,富士フイルムA3カラー複合機 3台,0,0,0,0,一般,404.104,56.009,-12.235,-12.811,51.573,0,0,8.566,0,0,0,7.027,0,167.255,0.186,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,5.03,0,■方法変実（部実・自己貴金）,0,0,■方法変実（部実・自己貴金）
933407,2025-08-06,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.8383,0,POS機器,0,0,0,0,一般,13501.042,2048.678,88.372,23.964,50.475,0,0,64.672,3.804,77.444,0,272.127,0,961.939636,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.25,0,設備検費見合せ（舗選・越線）,0,0,設備検費見合せ（舗選・越線）
925649,2025-07-14,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,84,67,0,横型マシニングセンタ HCN-5000,0,0,0,0,一般,6746.311,493.455,-15.593,26.359,20.862,0,0,368.408,0,9.781,220.502,12,242.779,136.634,358.5202,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.35,0,0,0,0,0
955629,2025-09-22,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.387356,0,PharnesX-EX ④ （ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.72,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.041294,0,PharnesX-EX ④ （ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.53,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.05,0,Pharnes X-EX④（ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
933544,2025-09-12,0,p 医療・福祉,0,新規先,宇都宮営業部,銀行紹介,2025,60,3529.829,0,電子カルテシステム BrainboxV-IV ハードウェア,0,0,0,0,一般,160.159,143.352,6.614,7.954,7.873,0,0,2.167,0,7.02,0,8.8,0,13,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.72,0,0,0,0,0
932293,2025-01-08,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,60,9.5,0,ELF,0,0,0,0,自動車,132.767,49.334,0.317,5.18,5.18,0,0,2.13,0.3,1.785,1.371,0.317,6.066,9.253,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,0,0,設■検索見合せ（部品・迷用）,0,0,設■検索見合せ（部品・迷用）
938088,2025-07-16,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,4.541,0,デジタルマイクロスコープ,0,0,0,0,一般,5215.993,502.229,97.31,152.175,122.443,0,0,109.493,0,4.542,52.271,2.564,21.484,275.843,0,0,2,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.83,0,他社競合（レート）,0,0,他社競合（レート）
915837,2025-06-19,0,M 宿泊業・飲食サービス業,0,新規先,宇都宮営業部,銀行紹介,2025,60,3.805909,0,プリウス,0,0,0,0,自動車,71.045,50.728,-2.149,-2.843,-2.924,0,0,8.402,0,2.865,0,0.465,0,59.693,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.04,0,0,0,0,0
919093,2025-03-10,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,84,25,0,射出成形機 Si-350-7,0,0,0,0,一般,355.453,43.837,1.475,-0.667,0.276,0,0,29.68,1.413,0.313,15.545,3.041,3.97,153.32,0,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,4.51,0,黒理方法変更（質・自己資金）,0,0,黒理方法変更（質・自己資金）
901408,2025-09-05,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,36,6,0,（R6） ランドクルーザー250,0,0,0,0,自動車,310.982,99.006,-7.105,-3.877,12.679,0,0,45.731,0,31.525,0,5.579,0,5.992,1.54,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.94,0,0,0,0,0
930778,2025-07-29,0,H 運輸業・郵便業,0,新規先,宇都宮営業部,その他,2025,84,11.515109,0,いす” FORWARD 4T クレーン付,0,0,0,0,自動車,82.861,16.682,2.911,1.718,1.268,0,0,46.006,0,0,19.313,2.265,10.771,46.19,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.01,0,0,0,0,0
909556,2025-08-28,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.096891,0,ハイエースパン DX 5ドア STDフロア,0,0,0,0,自動車,556.66,197.189,50.121,54.932,26.931,0,0,0.297,0,5.322,0,3.14,0,50,11.5552,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.06,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.387356,0,PharnesX-EX ⑤（ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.72,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.312644,0,PharnesX-EX⑤（ハード）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.54,0,0,0,0,0
910623,2025-07-29,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,23.85,0,冷蔵大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.90,0,0,0,0,0
960900,2025-09-17,0,Rサービス業（他に分類されないも）,0,既存先,0,銀行紹介,2025,60,1.28,0,複合機,0,0,0,0,一般,1126.337,470.429,48.635,57.914,31.696,0,0,51.905,-323.237,27.041,49.77,0.371,27.586,296.278,4.0014,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.24,0,0,0,0,0
932915,2025-05-30,0,D 建設業,0,新規先,0,銀行紹介,2025,60,7.161755,0,ヴェルファイア（HEV） Z PREMIER,0,0,0,0,自動車,29.414,29.327,5.718,5.817,4.413,0,0,0.194,0,0.03,0,0.238,0,0.58,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.51,0,0,0,0,0
963987,2025-07-07,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.48,0,シャープ デジタル複合機,0,0,0,0,一般,1485.094,976.508,31.766,35.593,-35.945,0,0,3.152,34.591,64.102,0,52.208,0,323.588,3.2754,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.09,0,0,0,0,0
924799,2025-08-27,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,2.095418,0,NV 200 バネット 5ドアバン,0,0,0,0,自動車,534.616,363.688,-0.806,0.99,0.718,0,0,6.563,0,5.835,0,16.598,0,15,2.01165,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.51,0,0,0,0,0
930597,2025-05-09,0,Rサービス業（他に分類されないもの）,0,既存先,0,銀行紹介,2025,108,13.090909,0,クボタ トラクター,0,0,0,0,自動車,20.25,6.453,-6.833,-7.056,-7.266,0,0,20.55,7.415,3.161,3.84,0.137,0,37.219,4.6892,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.00,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,0,銀行紹介,2025,60,1.569043,0,PharnesX-EX ②（ソフト）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.57,0,0,0,0,0
933544,2025-09-12,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.420171,0,電子カルテシステム Br ainbox V-IVソフトウェア,0,0,0,0,一般,160.159,143.352,6.614,7.954,7.873,0,0,2.167,0,7.02,0,8.8,0,13,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.83,0,0,0,0,0
963987,2025-09-05,0,p 医療・福祉,0,既存先,0,銀行紹介,2025,60,1.83,0,シャープ デジタル複合機,0,0,0,0,一般,1485.094,976.508,31.766,35.593,-35.945,0,0,3.152,34.591,64.102,0,52.208,0,323.588,3.2754,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.57,0,0,0,0,0
955629,2025-09-22,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.387356,0,PharnesX-EX ② （ソフト）,0,0,0,0,一般,322.693,139.134,6.835,8.341,6.444,0,0,0,0,3.473,0,5.991,0,15.324,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.72,0,0,0,0,0
